0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height,32.sibling,33.fumble,34.critical
33,Otegami_Todoke.html,,御手紙届,おてがみとどけ,33,男,殺し屋（遺書屋）,モスグリーン　#777E41,11/11,13/13,65/65,0,10,9,13,10,12,12,16,13,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=65 【幸運】$CCB<=50 【STR * 5】$CCB<=65 【知識】$CCB<=60 【APP * 5】$CCB<=45 【ショックロール】$CCB<=40 【回避】$CCB<=80 【拳銃】$CCB<=60 【聞き耳】$CCB<=46 【精神分析】$CCB<=30 【図書館】$CCB<=72 【目星】$CCB<=60 【運転(バイク)】$CCB<=80 【言いくるめ】$CCB<=40 【医学】$CCB<=78 【心理学】$CCB<=2 【クトゥルフ神話】,本名は文紡弦（かざりつづる）,ドロップアウトディスパイア$【HO届人】,,,,ぎええええええ！(●´Д`)ε`○),,私より頭いい,,173,一人っ子,,
34,Fudo_Yukiyama.html,,不動如山,ふどうゆきやま,34,男,不動産会社社員,アイビーグレイ　#666C67,13/13,14/14,70/70,1d4,16,13,14,13,11,12,12,16,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=70 【幸運】$CCB<=80 【STR * 5】$CCB<=80 【知識】$CCB<=55 【APP * 5】$CCB<=65 【ショックロール】$CCB<=46 【回避】$CCB<=75 【キック】$CCB<=46 【マーシャルアーツ】$CCB<=50 【聞き耳】$CCB<=55 【図書館】$CCB<=65 【目星】$CCB<=35 【運転(自動車)】$CCB<=70 【言いくるめ】$CCB<=50 【経理】$CCB<=51 【コンピューター】$CCB<=45 【心理学】$CCB<=35 【法律】,社畜,ꙮ-多眼のO-【双眼のO】,,不動さん…,,,お話ししたいッピ…,"一番探索者らしい
生きて酷い目にあってほしい",,171,,,
35,Ichimonnji_Kasumi.html,,一華白,いちもんじかすみ,23,男,ハッカー,白花色　#E8ECEF,12/12,12/12,41/60,0,8,9,12,13,16,14,14,15,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=60 【幸運】$CCB<=40 【STR * 5】$CCB<=75 【知識】$CCB<=80 【APP * 5】$CCB<=45 【ショックロール】$CCB<=60 【こぶし（パンチ）】$CCB<=44 【隠れる】$CCB<=45 【聞き耳】$CCB<=68 【図書館】$CCB<=72 【目星】$CCB<=30 【電気修理】$CCB<=65 【言いくるめ】$CCB<=1 【クトゥルフ神話】$CCB<=71 【コンピューター】$CCB<=51 【電子工学】$CCB<=31 【物理学】$CCB<=60 【外国語（英語）】,メンヘラストーカー$浮気相手との間にできた虐待児$いじめられっ子でもある,正しい死体の屠り方【HO2】$いつか王子様が【HO2】,,,,,,真っ当に幸せになるには歪みすぎたって感じ,,177,姉がいる弟,1,8
36,Ando_Roid.html,,安藤ロイド,あんどうろいど,,男,アンドロイド警察,ピジョンブルー　#88B5D3,28/28,14/14,58/70,1d4,12,14,14,14,15,14,15,15,CCB<={SAN} 【SAN値チェック】$CCB<=75 【アイデア】$CCB<=70 【幸運】$CCB<=60 【STR * 5】$CCB<=75 【知識】$CCB<=75 【APP * 5】$CCB<=70 【ショックロール】$CCB<=65 【回避】$CCB<=65 【組み付き】$CCB<=85 【ショットガン】$CCB<=64 【応急手当】$CCB<=75 【聞き耳】$CCB<=31 【精神分析】$CCB<=75 【図書館】$CCB<=75 【目星】$CCB<=64 【機械修理】$CCB<=75 【信用】$CCB<=81 【コンピューター】,ユーモアが好き,VOID【HO2】,ずっとそばにいてね-はい！,,アンドロイドの概念めっちゃロイドに引っ張られる,,かわいい後輩,"出目がポンコツのそれ
でも愛してるよ…",,176,姉がいる弟,10,3
37,Shirogane_Yukiko.html,,銀行子,しろがねゆきこ,17,女,学生,桔梗色　#5654A2,13/13,11/11,53/55,1d4,12,11,11,13,15,14,13,17,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=55 【幸運】$CCB<=60 【STR * 5】$CCB<=85 【知識】$CCB<=75 【APP * 5】$CCB<=55 【ショックロール】$CCB<=75 【弓】$CCB<=50 【応急手当】$CCB<=65 【聞き耳】$CCB<=75 【図書館】$CCB<=70 【目星】$CCB<=40 【乗馬】$CCB<=65 【信用】$CCB<=15 【値切り】$CCB<=25 【芸術(ピアノ)】$CCB<=65 【経理】$CCB<=30 【法律】$CCB<=71 【芸術（お嬢様）】,ドーベルマン飼ってる,脱獄は乙女の嗜み【HO1】,,お嬢様がんばりました！,息抜き大事ある！飲茶するあるか？,,まぁ貴女も中々のお嬢様であることは認めて差し上げますわ…,強く生きていけ！,,174,一人っ子,,
38,Flow.html,,Flow,フロー,？？？？,女,浮浪者,paleturquoise #AFEEEE,16/16,15/15,1/75,0,5,16,15,9,18,15,14,16,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=75 【幸運】$CCB<=25 【STR * 5】$CCB<=80 【知識】$CCB<=90 【APP * 5】$CCB<=80 【ショックロール】$CCB<=65 【投擲】$CCB<=85 【聞き耳】$CCB<=65 【登攀】$CCB<=50 【図書館】$CCB<=85 【目星】$CCB<=50 【水泳】$CCB<=60 【ナビゲート】$CCB<=98 【クトゥルフ神話】$CCB<=51 【地質学】$CCB<=86 【天文学】$CCB<=50 【博物学】,不老不死,Good Morning\ ALL$【HO不老不死】,もっとたくさんお話聞きたかった,,,,,フリーダムにRPできて楽しい,,184,たくさんいる…のかな？,,
39,Kuratsuka_Hajime.html,,倉塚一,くらつかはじめ,21,男,クラッカー,湊鼠　#80989B,11/11,11/11,21/55,0,9,9,11,16,11,12,15,10,CCB<={SAN} 【SAN値チェック】$CCB<=75 【アイデア】$CCB<=55 【幸運】$CCB<=45 【STR * 5】$CCB<=50 【知識】$CCB<=55 【APP * 5】$CCB<=45 【ショックロール】$CCB<=76 【回避】$CCB<=83 【拳銃】$CCB<=36 【隠れる】$CCB<=53 【聞き耳】$CCB<=55 【図書館】$CCB<=76 【目星】$CCB<=54 【言いくるめ】$CCB<=81 【コンピューター】$CCB<=14 【クトゥルフ神話】,吃音がひどい,My Sweet\ Dirty!【HO1】,,出会えてよかった,,,,吃音た〜〜〜〜のし,,167,腹違いの妹がどこかにいる兄,8,5
40,Hamu_Taro.html,,波向太郎,はむたろう,39,男,教団員,ローシェンナ　#e17b34,16/16,16/16,75/80,1d4,11,17,16,14,10,15,14,15,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=80 【幸運】$CCB<=55 【STR * 5】$CCB<=75 【知識】$CCB<=50 【APP * 5】$CCB<=85 【ショックロール】$CCB<=58 【回避】$CCB<=99 【キック】$CCB<=30 【組み付き】$CCB<=46 【マーシャルアーツ】$CCB<=52 【拳銃】$CCB<=65 【聞き耳】$CCB<=40 【追跡】$CCB<=70 【図書館】$CCB<=75 【目星】$CCB<=70 【信用】$CCB<=5 【クトゥルフ神話】$CCB<=3 【コンピューター】$CCB<=80 【心理学】$CCB<=40 【法律】,正しいことをする自分が好き,裏切り者のワルツ【HO1】$HO1とHO2が箱に詰められるだけ$（銀幕ナイトコメディ）$俺達が潜入捜査って本気っすか！？,,,有名人,,,なんかめっちゃ立ち絵ある,,184,,3,4
41,Jinsai.html,,人災,,16,女,,#ccff00,14/14,18/18,67/90,0,10,18,18,8,6,10,14,17,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=90 【幸運】$CCB<=50 【STR * 5】$CCB<=65 【知識】$CCB<=30 【APP * 5】$CCB<=90 【ショックロール】$CCB<=81 【回避】$CCB<=96 【頭突き】$CCB<=90 【聞き耳】$CCB<=75 【図書館】$CCB<=90 【目星】$CCB<=70 【天文学】,一人称がボク,World End Breakers$【HO人災】,,,,,二人は災厄,いつの間にか殺戮大好きっ子に,,150,,5,2
42,Claus_Corbett.html,,Claus・Corbett,クラウス・コルベット,52,男,軍人,青白橡 #9ba88d,13/13,14/14,70/70,0,11,15,14,11,13,11,18,18,CCB<={SAN} 【SAN値チェック】$CCB<=90 【アイデア】$CCB<=70 【幸運】$CCB<=55 【STR * 5】$CCB<=90 【知識】$CCB<=65 【APP * 5】$CCB<=75 【ショックロール】$CCB<=42 【回避】$CCB<=87 【ライフル】$CCB<=30 【応急手当】$CCB<=40 【聞き耳】$CCB<=41 【精神分析】$CCB<=85 【図書館】$CCB<=90 【目星】$CCB<=90 【製作(軍事作戦)】$CCB<=63 【ナビゲート】$CCB<=85 【信用】$CCB<=4 【クトゥルフ神話】$CCB<=30 【芸術(ピアノ)】$CCB<=50 【心理学】,感覚過敏$ギフテッド$ピアノ弾く,蹂躙するは我が手にて$【HO3】,,かわいすぎるｯﾋﾟ,ピアノ聴きたい！！！！！！！！,,plはクソ好きだしpcは勝手に狂ってる,みんなのこと口説きたい,,170,弟がいる兄,1,1
43,Kuruma_Takushi_tosk.html,,久留間拓志,くるまたくし,38,男,タクシー運転手,暗黒色　#16160E,13/13,12/12,53/60,1d4,9,10,12,17,14,16,14,15,CCB<={SAN} 【SAN値チェック】$CCB<=70 【アイデア】$CCB<=60 【幸運】$CCB<=45 【STR * 5】$CCB<=75 【知識】$CCB<=70 【APP * 5】$CCB<=50 【ショックロール】$CCB<=40 【組み付き】$CCB<=80 【こぶし（パンチ）】$CCB<=30 【応急手当】$CCB<=50 【聞き耳】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=80 【運転(自動車)】$CCB<=55 【機械修理】$CCB<=65 【ナビゲート】$CCB<=70 【信用】$CCB<=45 【医学】$CCB<=75 【心理学】$CCB<=30 【博物学】$CCB<=4 【クトゥルフ神話技能】,殺人鬼$掌の弟,トーキョーχスクランブルエッグ$（獄夜を歩く僕ら）,,,,,,好きだよ…,,,兄がいる弟,3,10
44,Azzaam_Musab_Tariif,,عَزَّام・طَرِيف・مُصْعَب,アッザーム・ムスアブ・タリーフ,41,男,サーカス団長,indigo　#4b0082,14/14,17/17,85/85,1d4,13,9,17,7,8,18,12,17,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=85 【幸運】$CCB<=65 【STR * 5】$CCB<=85 【知識】$CCB<=40 【APP * 5】$CCB<=45 【ショックロール】$CCB<=60 【回避】$CCB<=65 【棍棒】$CCB<=60 【応急手当】$CCB<=65 【聞き耳】$CCB<=66 【精神分析】$CCB<=25 【図書館】$CCB<=80 【目星】$CCB<=40 【言いくるめ】$CCB<=82 【芸術(ナイフ投げ)】$CCB<=29 【経理】$CCB<=25 【心理学】$CCB<=75 【芸術（火花と炎のシャワー）】$1d8+1d4 棍棒$1d10+1d6 火花と炎（CON喪失）,守銭奴,不辜のサァカス　ナイフノモツレ【HO1】,,ぱぱです！,,,,,,198,,,
45,,,反社ちいかわ,,,男,,#AF363B,,,,,,,,,,,,,,,,,,同卓してえが,,,早く作りたい…,,,,,
46,,,ここから先未登場,メモとして使わせてくれ〜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Adashino_Syo.html,,化野粧,あだしのしょう,16,男（女）,高校生,チェリーピンク　#EB6EA0,14/14,8/8,40/40,0,10,15,8,15,15,13,11,10,,性同一性障害,,,,,,,,,,,,
48,Oikawa_Makoto.html,,追川真実,おいかわまこと,24,女,探偵,ワインレッド　#B33E5C,13/13,16/16,80/80,1d4,14,9,16,15,13,17,16,14,ccb＜=80　目星$ccb＜=70　聞き耳$ccb＜=50　図書館$ccb＜=56　精神分析$ccb＜=60　 追跡 　$ccb＜＝30  　写真術$ccb＜=20　乗馬$ccb＜=80　心理学$ccb＜=51　英語$ccb＜=20　MA$ccb ＜=56    キック,ナルシ、タラシ,同居人$だから嫌いなあんたでいてくれよ,,,,,,イケメン発言難しい,,188,姉がいる妹,,
49,Konbini_Baito.html,,今日弐灰人,こんびにばいと,18,男,高校生兼コンビニバイト,アッシュグレイ　#9FA09E,10/10,8/8,40/40,0,6−1,9,8,12,11,12−1,13,11,ccb＜=67　目星$ccb＜=60　聞き耳$ccb＜=50　図書館$ccb＜=50　言いくるめ$ccb＜=60 　オカルト$ccb＜=50　経理$ccb＜=41　コンピュータ$ccb＜=25　応急手当て$ccb＜=25　鍵開け$ccb＜=35   隠す,どこにでもいる陰キャ,芋虫。,,,,,,継続むずい,,170,兄がいる弟,,
50,Yodogiri.html,,澱切,ヨドギリ,29,男,市役所役員（都市伝説課）,赤錆色　#8A3319,12/12,14/14,64/70,1d4,12,8,14+1,7,7,16,16,9,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=70 【幸運】$CCB<=60 【STR * 5】$CCB<=45 【知識】$CCB<=35 【APP * 5】$CCB<=40 【ショックロール】$ccb＜＝29 図書館$CCB<=55 【キック】$CCB<=21 【マーシャルアーツ】$CCB<=75 【杖】$CCB<=60 【応急手当】$CCB<=70 【聞き耳】$CCB<=21【精神分析】$CCB<=40 【追跡】$CCB<=68 【目星】$CCB<=30 【機械修理】$CCB<=82 【オカルト】,ヘビースモーカー,ようこそ！迷冥市役所都市伝説課へ！【HO1】$君とあるく真宵$超速回転寿司$おまけシナリオ,,,,,,ツンデレおじさん,,186,一人っ子,,
51,Kazari_Gakusyu.html,,文学修,かざりがくしゅう,24,男,作家,青藍　#274A78,13/13,14/14,70/70,1d4,14,12,14,4,13,14,11,15,CCB<={SAN} 【SAN値チェック】$CCB<=55 【アイデア】$CCB<=75 【幸運】$CCB<=70 【STR * 5】$CCB<=75 【知識】$CCB<=65 【APP * 5】$CCB<=60 【ショックロール】$CCB<=70 【杖】$CCB<=50 【聞き耳】$CCB<=85 【図書館】$CCB<=75 【目星】$CCB<=65 【説得】$CCB<=80 【母国語(日本語)】$CCB<=40 【芸術(絵画鑑賞)】$CCB<=50 【心理学】$CCB<=50 【歴史】$CCB<=61 【外国語（英語）】$ccb<=10 【芸術：背負い投げ】$1d8+1d4  杖,神経質$小さい頃事故に遭い片足がうまく動かないので杖をついて歩く,帝都心中【HO3】,,,,,,可哀想な人間,,175,兄がいる弟,,
52,Sorano_Karin.html,,空野果臨,そらのかりん,18,男,高校生,ミッドナイトブルー　#001E43,12/12,16/16,80/80,1d4,14,12,16,8,9,11,16,12,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=80 【幸運】$CCB<=70 【STR * 5】$CCB<=60 【知識】$CCB<=45 【APP * 5】$CCB<=60 【ショックロール】$CCB<=50 【聞き耳】$CCB<=50 【写真術】$CCB<=75 【図書館】$CCB<=80 【目星】$CCB<=50 【水泳】$CCB<=16 【化学】$CCB<=66 【地質学】$CCB<=76 【天文学】$CCB<=51 【英語】,宇宙の全てを知りたい,ライカの行方,,,,,,最初からSAN0だったんだ…………,,164,一人っ子,,
53,Eric_Hernandez.html,,Eric・Hernandez,エリック・ヘルナンデス,28,男,旅人,シグナルレッド　#E8383D,14/14,13/13,65/65,1d6,18,13,13,13,16,15,12,12,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=65 【幸運】$CCB<=90 【STR * 5】$CCB<=60 【知識】$CCB<=80 【APP * 5】$CCB<=65 【ショックロール】$CCB<=75 【組み付き】$CCB<=65 【応急手当】$CCB<=75 【聞き耳】$CCB<=60 【登攀】$CCB<=60 【目星】$CCB<=40 【運転(バイク)】$CCB<=70 【機械修理】$CCB<=80 【信用】$CCB<=45 【博物学】,アメリカ人$家族はいない,ＨＩＲＡＥＴＨ【HO1】,,,,,,中の人が日本人のインキャだから難易度高い,,182,妹がいた兄,,
54,Akuta_Haiyu.html,,芥田盃游,あくたはいゆう,26,男,俳優,アンティックゴールド　#C1AB05,13/13,13/13,65/65,0,10,12,13,8,17,14,15,14,CCB<={SAN} 【SAN値チェック】$CCB<=75 【アイデア】$CCB<=65 【幸運】$CCB<=50 【STR * 5】$CCB<=70 【知識】$CCB<=85 【APP * 5】$CCB<=60 【ショックロール】$CCB<=66 【回避】$CCB<=69 【キック】$CCB<=20 【マーシャルアーツ】$CCB<=50 【聞き耳】$CCB<=50 【写真術】$CCB<=45 【図書館】$CCB<=75 【目星】$CCB<=38 【変装】$CCB<=80 【説得】$CCB<=6 【クトゥルフ神話】$CCB<=65 【芸術(演劇)】$CCB<=25 【心理学】,俺様上から目線ナルシスト男,Oh\ My Baby【HO1】$胎む六月の果実,,顔面！！！！！！,,にくい！！！！！,,顔がいい！！！,,178,一人っ子,,
55,Ajiki_Miyatsuko.html,,安食造,あじきみやつこ,22,男,食品製造会社,マドンナブルー　#00608D,13/13,12/12,60/60,0,8,13,12,9,10,12,12,17,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=60 【幸運】$CCB<=40 【STR * 5】$CCB<=80 【知識】$CCB<=50 【APP * 5】$CCB<=65 【ショックロール】$CCB<=50 【頭突き】$CCB<=60 【ナイフ】$CCB<=65 【聞き耳】$CCB<=75 【図書館】$CCB<=70 【目星】$CCB<=50 【信用】$CCB<=61 【英語】$CCB<=55 【医学】$CCB<=45 【心理学】$CCB<=41 【生物学】,真面目な優等生$教育ママの一人息子,AI for you【HO4】,,,,,,チョロいな〜こいつ…,,172,一人っ子,,
56,Asanagu_Syuto.html,,朝凪舟渡,あさなぐしゅうと,14,男,中学生,ウルトラマリンブルー　#4753A2,10/10,12/12,60/60,0,11,9,12,12,12,11,13,6,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=60 【幸運】$CCB<=55 【STR * 5】$CCB<=30 【知識】$CCB<=60 【APP * 5】$CCB<=45 【ショックロール】$CCB<=40 【応急手当】$CCB<=21 【鍵開け】$CCB<=55 【聞き耳】$CCB<=40 【忍び歩き】$CCB<=65 【図書館】$CCB<=70 【目星】$CCB<=25 【言いくるめ】$CCB<=60 【オカルト】$ccb<=8 【クトゥルフ神話】,厨二病,刹夏【HO2】,,,,,,正直ちょっと恥ずい,,163,双子の兄,,
57,Lieselotte_Von_Schneider.html,,Lieselotte・von・schneider,リーゼロッテ・フォン・シュナイダー,16,女,仕立て屋見習い,ローズレッド　#EA618E,10/10,10/10,47/50,1d4,11,8,11,16,16,11,11,11,CCB<={SAN} 【SAN値チェック】$CCB<=55 【アイデア】$CCB<=55 【幸運】$CCB<=55 【STR * 5】$CCB<=55 【知識】$CCB<=80 【APP * 5】$CCB<=40 【ショックロール】$CCB<=60 【こぶし（パンチ）】$CCB<=50 【応急手当】$CCB<=50 【隠れる】$CCB<=50 【聞き耳】$CCB<=30 【写真術】$CCB<=55 【図書館】$CCB<=75 【目星】$CCB<=70 【製作(服飾)】$CCB<=55 【説得】$CCB<=45 【芸術(芸術鑑賞)】,ツンデレ,花冷えに亡く季節【HO2】$（PC-21/+）,,,,,,誇りに思う,,157,一人っ子,2,3
58,Tsukumo_Kyumei.html,,九十九玖明,つくもきゅうめい,21,男,救急救命士,バーミリオン　#EA553A,12/12,11/11,55/55,1d4,14,13,11,9,13,11,12,14,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=55 【幸運】$CCB<=70 【STR * 5】$CCB<=70 【知識】$CCB<=65 【APP * 5】$CCB<=65 【ショックロール】$CCB<=36 【回避】$CCB<=65 【組み付き】$CCB<=80 【応急手当】$CCB<=60 【聞き耳】$CCB<=60 【精神分析】$CCB<=50 【登攀】$CCB<=55 【図書館】$CCB<=68 【目星】$CCB<=50 【信用】$CCB<=50 【医学】$CCB<=36 【薬学】,いい奴$姉と妹がいる,旅館の捕食者【HO3】$うえからでられない,,,,,,"いい奴すぎてむしろ
つまんない",,167,姉一人妹一人,5,4
59,Kuniie_Gonta.html,,國家権太,くにいえごんた,27,男,警察官（国家公務員）,鶯茶　#715C1F,16/16,14/14,69/70,1d4,12,16,14,7,12,15,13,15,CCB<={SAN} 【SAN値チェック】$CCB<=65 【アイデア】$CCB<=70 【幸運】$CCB<=60 【STR * 5】$CCB<=85 【知識】$CCB<=60 【APP * 5】$CCB<=80 【ショックロール】$CCB<=75 【組み付き】$CCB<=31 【マーシャルアーツ】$CCB<=45 【拳銃】$CCB<=50 【応急手当】$CCB<=55 【聞き耳】$CCB<=36 【精神分析】$CCB<=10 【追跡】$CCB<=75 【図書館】$CCB<=65 【目星】$CCB<=75 【説得】$CCB<=55 【心理学】$CCB<=85 【法律】,クソ真面目警察一家長男,死を望まれた子供,,,,,,未熟な感じがする,,180,弟がいる兄,2,4
60,Okashi_Toma.html,,尾柏噇満,おかしとうま,18,男,お菓子屋バイト,ココアブラウン　#98605E,18/18,13/13,79/65,1d4,12,21,13,6,14,15,12,12,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=65 【幸運】$CCB<=60 【STR * 5】$CCB<=60 【知識】$CCB<=70 【APP * 5】$CCB<=105 【ショックロール】$CCB<=45 【応急手当】$CCB<=51 【鍵開け】$CCB<=45 【隠す】$CCB<=40 【隠れる】$CCB<=65 【聞き耳】$CCB<=75 【忍び歩き】$CCB<=40 【写真術】$CCB<=26 【精神分析】$CCB<=40 【追跡】$CCB<=50 【図書館】$CCB<=70 【目星】$CCB<=55 【製作(お菓子)】$CCB<=50 【製作（料理）】$CCB<=35 【言いくるめ】$CCB<=55 【信用】$CCB<=35 【芸術(演技)】$CCB<=21 【フランス語】,おめでたい頭をしている,愛罠蜂【HO2】,,,,,,お前より幸せになっていい人はいると思う,,181,一人っ子,2,1
61,Edward.html,,Edward,エドワード,29,男,ボディーガード,ダークカーキ　#BDB76B,15/15,15/15,71/75,1d6,16,12,15,13,11,17,12,21,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=1 【幸運】$CCB<=80 【STR * 5】$CCB<=105 【知識】$CCB<=55 【APP * 5】$CCB<=60 【ショックロール】$CCB<=65 【回避】$CCB<=80 【キック】$CCB<=71 【組み付き】$CCB<=65 【こぶし（パンチ）】$CCB<=60 【マーシャルアーツ】$CCB<=70 【拳銃】$CCB<=60 【応急手当】$CCB<=40 【隠れる】$CCB<=80 【聞き耳】$CCB<=40 【図書館】$CCB<=60 【目星】$CCB<=40 【運転(車)】$CCB<=51 【信用】$CCB<=60 【心理学】,ポジティブシンキング,Mr.アンラッキー&Ms.グッドラック【HO1】,,,,,,出目がいい,,194,不明,2,10
62,Tomurai_Hitoyoshi.html,,ト村井人義,とむらいひとよし,42,男,葬儀屋,錆鉄御納戸　#485859,15/15,14/14,75/75,0,8,13,14,15,10,16,19,24,CCB<={SAN} 【SAN値チェック】$CCB<=95 【アイデア】$CCB<=75 【幸運】$CCB<=40 【STR * 5】$CCB<=120 【知識】$CCB<=50 【APP * 5】$CCB<=65 【ショックロール】$CCB<=50 【回避】$CCB<=65 【拳銃】$CCB<=75 【ナイフ】$CCB<=30 【応急手当】$CCB<=60 【隠す】$CCB<=65 【聞き耳】$CCB<=41 【精神分析】$CCB<=85 【図書館】$CCB<=75 【目星】$CCB<=75 【言いくるめ】$CCB<=40 【信用】$CCB<=60 【医学】$CCB<=10 【オカルト】$CCB<=6 【化学】$CCB<=5 【クトゥルフ神話】$CCB<=60 【芸術(死化粧)】$CCB<=15 【経理】$CCB<=6 【考古学】$CCB<=6 【コンピューター】$CCB<=65 【心理学】$CCB<=76 【人類学】$CCB<=6 【生物学】$CCB<=6 【地質学】$CCB<=6 【電子工学】$CCB<=6 【天文学】$CCB<=15 【博物学】$CCB<=6 【物理学】$CCB<=10 【法律】$CCB<=6 【薬学】$CCB<=25 【歴史】,人の死に興味がある,秘密と内証,,,,,顔が良い顔が,私は好きだけど普通に嫌な人,,189,血のつながらない兄がいる弟,2,0
63,Amelia_Spencer.html,,Amelia・Spencer,アメリア・スペンサー,25, 女,メイド,　シナモン　#BE8F68,12/12,14/14,70/70,1d4,13,11,14,15,11,12,16,14,CCB<={SAN} 【SAN値チェック】$CCB<=80 【アイデア】$CCB<=70 【幸運】$CCB<=65 【STR * 5】$CCB<=70 【知識】$CCB<=55 【APP * 5】$CCB<=55 【ショックロール】$CCB<=71 【回避】$CCB<=80 【ナイフ】$CCB<=60 【応急手当】$CCB<=55 【聞き耳】$CCB<=65 【忍び歩き】$CCB<=36 【精神分析】$CCB<=55 【図書館】$CCB<=80 【目星】$CCB<=65 【信用】$CCB<=2 【クトゥルフ神話】$CCB<=70 【芸術(家事)】$CCB<=16 【外国語（日本語）】,元スラム街の盗人$旦那様が大好き,嗤う人間師【HO4】$AND/HAND$そうだ、キョウトとやらに行こう,,,,,,恋する乙女って感じだ,,160,一人っ子,4,2
64,Kemi_Karuma.html,,計見果留痲,けみかるま,37,男,化学教師,darkviolet #9400D3,11/11,13/13,65/65,0,10,8,13,14,12,13,12,16,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=65 【幸運】$CCB<=50 【STR * 5】$CCB<=80 【知識】$CCB<=60 【APP * 5】$CCB<=40 【ショックロール】$CCB<=50 【応急手当】$CCB<=70 【聞き耳】$CCB<=75 【図書館】$CCB<=70 【目星】$CCB<=45 【製作(変な薬)】$CCB<=50 【信用】$CCB<=20 【医学】$CCB<=35 【オカルト】$CCB<=80 【化学】$CCB<=3 【クトゥルフ神話】$CCB<=45 【心理学】$CCB<=20 【生物学】$CCB<=20 【地質学】$CCB<=60 【物理学】$CCB<=66 【薬学】,いつ死んでもいいと思ってる,ステガノグラフィ【HO2】,,,,,,何がしたいんだ？お前…,,174,一人っ子,1,3
65,David_Cosmo.html,,David・cosmo,デイビッド・コスモ,43,男,宇宙飛行士,ベージュ　#eedcb3,15/15,16/16,72/80,1d4,13,15,16,11,9,14,12,17,CCB<={SAN} 【SAN値チェック】$CCB<=60 【アイデア】$CCB<=80 【幸運】$CCB<=65 【STR * 5】$CCB<=85 【知識】$CCB<=45 【APP * 5】$CCB<=75 【ショックロール】$CCB<=75 【聞き耳】$CCB<=55 【図書館】$CCB<=65 【目星】$CCB<=80 【機械修理】$CCB<=46 【操縦(宇宙船)】$CCB<=81 【低/無重力行動】$CCB<=65 【信用】$CCB<=41 【天文学】$CCB<=72 【宇宙工学】,13歳の娘と妻がいる,事象地平のアストロナウト,,,,,,出目はあれだったけどよく生きて帰ったなぁ…,,176,一人っ子,,
66,Kasuda_Kyo.html,,嘉数田教,かすだきょう,27,男,数学教師,ヒヤシンス　#6c9bd2,12/12,12/12,60/60,0,10,10,12,12,13,14,11,14,CCB<={SAN} 【SAN値チェック】$CCB<=55 【アイデア】$CCB<=60 【幸運】$CCB<=50 【STR * 5】$CCB<=70 【知識】$CCB<=65 【APP * 5】$CCB<=50 【ショックロール】$CCB<=65 【こぶし（パンチ）】$CCB<=45 【応急手当】$CCB<=40 【隠れる】$CCB<=65 【聞き耳】$CCB<=70 【図書館】$CCB<=70 【目星】$CCB<=60 【説得】$CCB<=70 【芸術(数学)】$CCB<=65 【心理学】$CCB<=31 【物理学】,生徒に劣情を抱けるタイプ,先生,,,,,,やってる最中キモすぎて震えた,,175,一人っ子,4,3
